"Reference ID","Box Number","Site Name","Street","City","County","Program","Latitude","Longitude","All Programs for Site","Covenant","RCRA Hazardous Waste Sites"
"2418","2011BAZ139","ADA CNTY HWY DIST OWYHEE PLAZA","1109 W MAIN ST","BOISE","Ada","RCRA Hazardous Waste Sites","43.617646","-116.207923","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"2419","2011BAZ140","ADA CNTY HWY DIST S 13TH","301 S 13TH ST","BOISE","Ada","RCRA Hazardous Waste Sites","43.617032","-116.21135","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"7910","2011BAZ141","ADA CNTY HWY DIST S 17TH","828 S 17TH ST","BOISE","Ada","RCRA Hazardous Waste Sites","43.618429","-116.222924","Leaking Underground Storage Tanks, RCRA Hazardous Waste Site, Underground Storage Tanks","","RCRA Hazardous Waste Sites"
"7906","2011BAZ128","ADA CNTY LANDFILL","9005 SEAMANS GULCH RD","BOISE","Ada","RCRA Hazardous Waste Sites","43.70409","-116.27786","General Remediation, RCRA Hazardous Waste Site, Solid Waste, Underground Storage Tanks","","RCRA Hazardous Waste Sites"
"2484","2011BAZ144","ADA CNTY PUBLIC SAFETY BDLG","7200 BARRISTER DR","BOISE","Ada","RCRA Hazardous Waste Sites","43.60866","-116.26988","Leaking Underground Storage Tanks, RCRA Hazardous Waste Site, Underground Storage Tanks","","RCRA Hazardous Waste Sites"
"7912","2011BAZ145","ADA CNTY RISK MGMT","914 ROYAL BLVD","BOISE","Ada","RCRA Hazardous Waste Sites","43.6093","-116.21216","Leaking Underground Storage Tanks, RCRA Hazardous Waste Site, Underground Storage Tanks","","RCRA Hazardous Waste Sites"
"27648","2012BAZ479","ADA CO WEED PEST & MOSQUITO ABATEMENT DEPT","975 E PINE AVE","MERIDIAN","Ada","RCRA Hazardous Waste Sites","43.610436","-116.378493","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"2422","2011BAZ149","ADA ELECTRIC CO INC","1761 N HAMPTON","BOISE","Ada","RCRA Hazardous Waste Sites","43.621048","-116.309297","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"2424","2011BAZ153","ADAMS PAINT","1522 W RIVER ST","BOISE","Ada","RCRA Hazardous Waste Sites","43.617723","-116.216232","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"2425","2011BAZ155","ADAMS ST INVESTMENTS","415 E 42ND ST","GARDEN CITY","Ada","RCRA Hazardous Waste Sites","43.634918","-116.245634","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"2423","2011BAZ150","ADA TOWING VACANT","119 E 35TH ST","GARDEN CITY","Ada","RCRA Hazardous Waste Sites","43.624172","-116.238738","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"2427","2011BAZ160","ADDISON ANIMAL CENTER","2285 ADDISON AVE E","TWIN FALLS","Twin Falls","RCRA Hazardous Waste Sites","42.563624","-114.438544","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"110518","2014BAZ105","ADRENALINE PERFORMANCE","606 N STATE ST(YELLOWSTONE HWY)","SHELLEY","BINGHAM","RCRA Hazardous Waste Sites","43.391169","-112.11651","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"2428","2011BAZ161","ADS PARTNERSHIP DAVIS PACKING","400 E 36TH ST","GARDEN CITY","Ada","RCRA Hazardous Waste Sites","43.626979","-116.236115","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"2429","2011BAZ162","ADVANCED DISTRIBUTORS","1322 F ST","LEWISTON","Nez Perce","RCRA Hazardous Waste Sites","46.417626","-117.014894","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"2430","2011BAZ163","ADVANCED ENVIRONMENTAL TECH SERVICES","917 ISLAND AVE","BOISE","Ada","RCRA Hazardous Waste Sites","43.60761","-116.213185","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"2432","2011BAZ165","ADVANCED INPUT DEVICES AID","250 W AID DR","COEUR D ALENE","Kootenai","RCRA Hazardous Waste Sites","47.742649","-116.790419","General Remediation, RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"2433","2011BAZ166","ADVANCED INPUT DEVICES PRIEST RIVER","PRIEST RIVER INDUSTRIAL PARK (1421 Shannon Ln)","PRIEST RIVER","Bonner","RCRA Hazardous Waste Sites","48.18835","-116.934249","General Remediation, RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"2431","2011BAZ164","ADVANCED INPUT DEVICES WILBUR","600 W WILBUR AVE","COEUR D ALENE","Kootenai","RCRA Hazardous Waste Sites","47.736264","-116.796001","General Remediation, RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"14345","2012BAZ41","ADVANCED PRECISION MACHINING INC","180 S ATKINS WAY","MERIDIAN","Ada","RCRA Hazardous Waste Sites","43.603","-116.377","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"14092","2012BAZ18","ADVANCED WELDING & STEEL INC","257 HWY 95 N","GRANGEVILLE","Idaho","RCRA Hazardous Waste Sites","45.941","-116.154","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"2434","2011BAZ167","ADVENTURE MOTOR SPORTS","2469 KIMBERLY RD","TWIN FALLS","Twin Falls","RCRA Hazardous Waste Sites","42.549371","-114.434157","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"2436","2011BAZ170","AEROCET INC","265 SHANNON LN","PRIEST RIVER","Bonner","RCRA Hazardous Waste Sites","48.189422","-116.932321","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"2440","2011BAZ175","AFFORDABLE BOAT BROKERAGE","570 N GREENSFERRY RD","POST FALLS","Kootenai","RCRA Hazardous Waste Sites","47.71201","-116.915402","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"2441","2011BAZ176","AFFORDABLE TRANSMISSIONS","5712 N GOVT WAY","DALTON GARDENS","Kootenai","RCRA Hazardous Waste Sites","47.723692","-116.786181","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"2442","2011BAZ177","AFFTREX LTD","395 W HWY 39","BLACKFOOT","Bingham","RCRA Hazardous Waste Sites","43.198908","-112.375346","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"3119","2011BAZ1418","AG EXPRESS INC","425 VICTORY AVE","TWIN FALLS","Twin Falls","RCRA Hazardous Waste Sites","42.555877","-114.487845","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"2445","2011BAZ183","AGRIPRO BIOSCIENCES INC","1423 11TH AVE N","NAMPA","Canyon","RCRA Hazardous Waste Sites","43.594876","-116.542471","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"2446","2011BAZ184","AGRISALES INC","HWY 30","KIMBERLY","Twin Falls","RCRA Hazardous Waste Sites","42.536696","-114.360407","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"2376","2011BAZ68","A & G UPHOLSTERY","6419 USTICK RD","BOISE","Ada","RCRA Hazardous Waste Sites","43.633127","-116.261849","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"7895","2011BAZ74","A H SCHADE INC GEM STOP CO 12TH AVE","2221 12TH AVE RD","NAMPA","Canyon","RCRA Hazardous Waste Sites","43.54762","-116.57315","Leaking Underground Storage Tanks, RCRA Hazardous Waste Site, Underground Storage Tanks","","RCRA Hazardous Waste Sites"
"7896","2011BAZ75","A H SCHADE INC GEM STOP CO 2ND ST","1602 2ND ST S","NAMPA","Canyon","RCRA Hazardous Waste Sites","43.57507","-116.55596","RCRA Hazardous Waste Site, Underground Storage Tanks","","RCRA Hazardous Waste Sites"
"7897","2011BAZ76","A H SCHADE INC GEM STOP CO 323 CB","323 CALDWELL BLVD","NAMPA","Canyon","RCRA Hazardous Waste Sites","43.59","-116.5811","Leaking Underground Storage Tanks, RCRA Hazardous Waste Site, Underground Storage Tanks","","RCRA Hazardous Waste Sites"
"2474","2011BAZ77","A H SCHADE INC GEM STOP CO 612 NB","612 NAMPA BLVD","NAMPA","Canyon","RCRA Hazardous Waste Sites","43.59833","-116.57244","Leaking Underground Storage Tanks, RCRA Hazardous Waste Site, Underground Storage Tanks","","RCRA Hazardous Waste Sites"
"8891","2011BAZ3478","A H SCHADE INC GEM STOP CO BROADWAY","1005 BROADWAY AVE","BOISE","Ada","RCRA Hazardous Waste Sites","43.60067","-116.19415","RCRA Hazardous Waste Site, Underground Storage Tanks","","RCRA Hazardous Waste Sites"
"2475","2011BAZ78","A H SCHADE INC GEM STOP CO CURTIS","420 N CURTIS RD","BOISE","Ada","RCRA Hazardous Waste Sites","43.60832","-116.25328","RCRA Hazardous Waste Site, Underground Storage Tanks","","RCRA Hazardous Waste Sites"
"2476","2011BAZ79","A H SCHADE INC GEM STOP CO GUSS GAS & GRUB","1102 CLEVELAND BLVD","CALDWELL","Canyon","RCRA Hazardous Waste Sites","43.66184","-116.68673","Leaking Underground Storage Tanks, RCRA Hazardous Waste Site, Underground Storage Tanks","","RCRA Hazardous Waste Sites"
"2477","2011BAZ80","A H SCHADE INC GEM STOP CO MIDDLETON","802 STAR RD","MIDDLETON","Canyon","RCRA Hazardous Waste Sites","43.70303","-116.61144","Leaking Underground Storage Tanks, RCRA Hazardous Waste Site, Underground Storage Tanks","","RCRA Hazardous Waste Sites"
"2447","2011BAZ187","AIRCO INC INDUSTRIAL GASES DIV","SMELTER HEIGHTS","KELLOGG","Shoshone","RCRA Hazardous Waste Sites","47.537778","-116.153056","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"2448","2011BAZ188","AITCO INC","1139 HWY 11 (3 MI N OF WEIPPE)","WEIPPE","Clearwater","RCRA Hazardous Waste Sites","46.429353","-115.898298","RCRA Hazardous Waste Site, Solid Waste","","RCRA Hazardous Waste Sites"
"2449","2011BAZ189","AKRION SCP SERVICES","8455 WESTPARK ST","BOISE","Ada","RCRA Hazardous Waste Sites","43.606942","-116.288055","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"14091","2012BAZ179","ALAMEDA AUTOMOTIVE","1185 W ALAMEDA","POCATELLO","Bannock","RCRA Hazardous Waste Sites","42.891","-112.475","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"110551","2014BAZ111","ALBERTSONS DC 8710","3649 E COMMERCIAL COURT","MERIDIAN","Ada","RCRA Hazardous Waste Sites","43.608958","-116.348725","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"125458","2016BAZ3","ALBERTSONS NO 103","415 CLEVELAND BLVD","CALDWELL","Canyon","RCRA Hazardous Waste Sites","43.667223","-116.692939","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"125459","2016BAZ4","ALBERTSONS NO 162","5100 W OVERLAND RD","BOISE","Ada","RCRA Hazardous Waste Sites","43.591846","-116.245186","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"2610","2011BAZ197","ALBERTSONS NO 177","4700 N EAGLE RD","BOISE","Ada","RCRA Hazardous Waste Sites","43.647232","-116.352667","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"7926","2011BAZ207","ALBERTSONS NO 182 EAGLE","250 S EAGLE RD","EAGLE","Ada","RCRA Hazardous Waste Sites","43.69178","-116.35363","RCRA Hazardous Waste Site, Underground Storage Tanks","","RCRA Hazardous Waste Sites"
"2611","2011BAZ198","ALBERTSONS NO 192","2450 N BOGUS BASIN RD","BOISE","Ada","RCRA Hazardous Waste Sites","43.642223","-116.207662","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"2568","2011BAZ199","ALBERTSONS NO 8110","2700 REGAN AVE","BOISE","Ada","RCRA Hazardous Waste Sites","43.62808","-116.2242","RCRA Hazardous Waste Site, Underground Storage Tanks","","RCRA Hazardous Waste Sites"
"2612","2011BAZ216","ALBERTSONS PRINTING & SUPPLY","3705 E COMMERCIAL CT; 550 N EAGLE RD","MERIDIAN","Ada","RCRA Hazardous Waste Sites","43.609356","-116.346391","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"4756","2011BAZ5177","ALCHEMETRICS","9622 DELAWARE ST","BOISE","Ada","RCRA Hazardous Waste Sites","43.592139","-116.302053","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"2615","2011BAZ221","ALCHEM LABORATORIES","250 S BEECHWOOD DR STE 1","BOISE","Ada","RCRA Hazardous Waste Sites","43.602432","-116.271625","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
